trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.001, 'e': 1.0}",25,0,-108.77657638045392,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
75,False,"{'a': 0.001, 'e': 1.0}",20,0,-94.51603850827998,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.001, 'e': 1.0}",30,0,-205.46446167914058,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
77,False,"{'a': 0.001, 'e': 1.0}",25,0,-123.06881175161055,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
78,False,"{'a': 0.001, 'e': 1.0}",30,1,-191.96019485864704,"{0: 13, 1: 1, 2: 12, 3: 2, 4: 1}",1
79,False,"{'a': 0.001, 'e': 1.0}",25,0,-98.4634292532136,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.001, 'e': 1.0}",20,11,-56.35282702952804,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.001, 'e': 1.0}",25,0,-123.4599682059939,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
82,False,"{'a': 0.001, 'e': 1.0}",25,0,-291.8298686228325,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 7}",0
83,False,"{'a': 0.001, 'e': 1.0}",25,0,-194.6060617341248,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
84,False,"{'a': 0.001, 'e': 1.0}",20,0,-96.27966594941304,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.001, 'e': 1.0}",25,0,-270.090579559342,"{0: 9, 1: 2, 2: 7, 3: 4, 4: 3}",0
86,False,"{'a': 0.001, 'e': 1.0}",20,0,-109.71970523055013,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
87,False,"{'a': 0.001, 'e': 1.0}",20,0,-154.81172514619482,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
88,False,"{'a': 0.001, 'e': 1.0}",30,0,-162.6623102649195,"{0: 15, 1: 7, 2: 5, 3: 1, 4: 2}",0
89,False,"{'a': 0.001, 'e': 1.0}",30,0,-228.9587205185629,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
90,False,"{'a': 0.001, 'e': 1.0}",20,0,-104.19064162243913,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.001, 'e': 1.0}",20,0,-138.40115423042124,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
92,False,"{'a': 0.001, 'e': 1.0}",30,0,-251.21163081137163,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 5}",0
93,False,"{'a': 0.001, 'e': 1.0}",20,0,-57.40201587878006,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.001, 'e': 1.0}",30,0,-82.08557582048525,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
95,False,"{'a': 0.001, 'e': 1.0}",25,0,-208.41929681008676,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
96,False,"{'a': 0.001, 'e': 1.0}",20,0,-98.34826060166228,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
97,False,"{'a': 0.001, 'e': 1.0}",20,0,-66.26913719092487,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
98,False,"{'a': 0.001, 'e': 1.0}",25,0,-128.8612174986953,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
99,False,"{'a': 0.001, 'e': 1.0}",30,0,-171.4770404224185,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
